# Annotation Gene Product Summary
# Tool: Prokka
# Bins analyzed: 10
# Total CDS: 35219
# Hypothetical proteins: 20031 (56.9% of CDS)
# Annotated CDS: 15188
# Top 100 annotated gene products shown
#
rank	count	percent_of_total_cds	product	gene_name	function	keywords
80	13	0.04%	Ribose-phosphate pyrophosphokinase	PRS4	—	ATP-binding|Cytoplasm|Kinase|Magnesium|Metal-binding|Nucleotide biosynthesis|Nucleotide-binding|Reference proteome|Transferase
81	13	0.04%	Energy-dependent translational throttle protein EttA	ettA	A translation factor that gates the progression of the 70S ribosomal initiation complex (IC, containing tRNA(fMet) in the P-site) into the translation elongation cycle by using a mechanism sensitiv....	3D-structure|ATP-binding|Cytoplasm|Direct protein sequencing|Hydrolase|Nucleotide-binding|Protein biosynthesis|Reference proteome|Repeat|RNA-binding|rRNA-binding|Translation regulation|tRNA-binding
82	13	0.04%	Single-stranded DNA-binding protein	ssb	Plays an important role in DNA replication, recombination and repair.	3D-structure|Cytoplasm|DNA damage|DNA recombination|DNA repair|DNA replication|DNA-binding|Reference proteome|Repeat
83	13	0.04%	Tryptophan synthase beta chain	trpB	The beta subunit is responsible for the synthesis of L-tryptophan from indole and L-serine.	Amino-acid biosynthesis|Aromatic amino acid biosynthesis|Lyase|Pyridoxal phosphate|Tryptophan biosynthesis
84	13	0.04%	Putative multidrug export ATP-binding/permease protein	—	May be involved in multidrug export.	ATP-binding|Cell membrane|Membrane|Nucleotide-binding|Translocase|Transmembrane|Transmembrane helix|Transport
85	13	0.04%	6-phosphogluconolactonase	pgl	Catalyzes the hydrolysis of 6-phosphogluconolactone to 6-phosphogluconate.	Carbohydrate metabolism|Glucose metabolism|Hydrolase|Reference proteome
86	13	0.04%	Transcription elongation factor GreA	greA	Necessary for efficient RNA polymerase transcription elongation past template-encoded arresting sites.	DNA-binding|Reference proteome|Transcription|Transcription regulation
87	13	0.04%	DNA primase	mobA	Part of the relaxosome complex that is responsible for plasmid transfer during conjugation.	3D-structure|Calcium|Coiled coil|Conjugation|Cytoplasm|Direct protein sequencing|DNA-binding|DNA-directed RNA polymerase|Isomerase|Magnesium|Manganese|Metal-binding|Mobility protein|Multifunctional enzyme|Plasmid|Topoisomerase|Transcription|Transferase
88	13	0.04%	GTPase Der	yihI	A GTPase-activating protein (GAP) that modifies Der/EngA GTPase function, negatively regulating cell growth, probably via ribosome assembly.	GTPase activation|Reference proteome|Ribosome biogenesis
89	13	0.04%	Mycothiol acetyltransferase	mshD	Catalyzes the transfer of acetyl from acetyl-CoA to desacetylmycothiol (Cys-GlcN-Ins) to form mycothiol.	Acyltransferase|Repeat|Transferase
90	13	0.04%	putative zinc protease	rep	Multifunctional protein involved in the transcription and replication of viral RNAs.	3D-structure|Activation of host autophagy by virus|ATP-binding|Disulfide bond|Endonuclease|Exonuclease|Helicase|Host cytoplasm|Host membrane|Host-virus interaction|Hydrolase|Inhibition of host innate immune response by virus|Inhibition of host IRF3 by virus|Inhibition of host RLR pathway by virus|Lyase|Membrane|Metal-binding|Methyltransferase|Modulation of host ubiquitin pathway by viral deubiquitinase|Modulation of host ubiquitin pathway by virus|Nuclease|Nucleotide-binding|Nucleotidyltransferase|Protease|Reference proteome|Repeat|Ribosomal frameshifting|RNA-binding|RNA-directed RNA polymerase|Thiol protease|Transferase|Transmembrane|Transmembrane helix|Ubl conjugation pathway|Viral immunoevasion|Viral RNA replication|Zinc|Zinc-finger
91	13	0.04%	Methionyl-tRNA formyltransferase	fmt	Attaches a formyl group to the free amino group of methionyl-tRNA(fMet).	Protein biosynthesis|Transferase
92	13	0.04%	Regulator of RpoS	rssB	Regulates the turnover of the sigma S factor (RpoS) by promoting its proteolysis in exponentially growing cells.	3D-structure|Phosphoprotein|Reference proteome|Stress response
